source_sku,source_name,product_id,brand_name,category,badge,suggested_price_usd,hero_headline,hero_subheadline,what_it_is,what_it_does,how_to_use,key_ingredients,testing_copy,cautions_copy,cta_primary,cta_secondary,image_file
GCN-001,Creatine Hydration Powder,core-performance-creatine-hydration-powder,Core Performance Creatine Hydration Powder,Performance,Core Performance,42,Core Performance Creatine Hydration Powder,"Supports exercise performance, strength output, and recovery capacity.",A premium powder formula engineered for performance routine architecture and long-term consistency,"Supports exercise performance, strength output, and recovery capacity; Supports exercise performance and recovery.","As a dietary supplement, adults mix one (1) scoop (10g) with 6-8 oz (177-237ml) of water or favorite beverage daily. Do not exceed labeled serving size.","Creatine (as Creatine Monohydrate) 5,000 mg, Magnesium (as Magnesium Malate) 60 mg, Sodium (as Sea Salt) 1,000 mg, Potassium (as Potassium Chloride) 200 mg, Natural Flavors, Stevia Extract (Leaf), Silicon Dioxide.","Third-party verified identity, potency, and contaminant controls on every production lot.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE *These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-performance-creatine-hydration-powder.svg
GCN-002,Ashwagandha Plus,core-performance-ashwagandha-plus,Core Performance Ashwagandha Plus,Performance,Core Performance,30,Core Performance Ashwagandha Plus,Supports exercise performance and recovery.,A premium capsules formula engineered for performance routine architecture and long-term consistency,"Supports exercise performance and recovery; Supports cognitive performance, focus, and mental clarity.","As a dietary supplement, adults take two (2) capsules daily. For best results, take with 6-8 oz (177-237ml) of water or as directed by healthcare professional. Do not exceed labeled serving size.","Vitamin D3 (as Cholecalciferol) (20 mcg), Vitamin B6 (as Pyridoxine Hydrochloride) (2.5 mg), Vitamin B12 (as Methylcobalamin 1%) (25 mcg), KSM-66® Ashwagandha Extract (standardized to 5% Withanolides) (600 mg), L-Arginine (300 mg), Maca Root Powder (Lepidium meyenii) (root) (150 mg), Panax Ginseng Powder (root) (100 mg), Shatavari Powder (Asparagus racemosus) (root) (50 mg), HPMC (vegetable capsule).","Third-party verified identity, potency, and contaminant controls on every production lot.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE. *These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-performance-ashwagandha-plus.svg
GCN-003,Methylene Blue Drops,core-focus-methylene-blue-drops,Core Focus Methylene Blue Drops,Focus,Core Focus,59,Core Focus Methylene Blue Drops,Supports cognitive performance and stress resilience.,A premium liquid formula engineered for focus routine architecture and long-term consistency,"Supports cognitive performance and stress resilience; Supports cognitive performance, focus, and mental clarity.","Shake well before each use. Adults: Take 1 ml (20 drops) orally once daily, preferably in the morning. Fill the dropper and dispense directly into your mouth or add to your preferred beverage. If well tolerated, a second serving may be taken later in the day. Do not exceed labeled serving size.","Methylene Blue Powder (10 mg), Water, Potassium Sorbate","Third-party verified identity, potency, and contaminant controls on every production lot.","The safety of this product has not been determined. Pregnant or nursing women, children under 18, and individuals with known medical conditions should consult a healthcare professional before using this or any dietary supplement. KEEP OUT OF REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS BROKEN OR MISSING. STORE IN A COOL, DRY PLACE. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-focus-methylene-blue-drops.svg
GCN-004,Beauty + Collagen Strips,core-recovery-beauty-collagen-strips,Core Recovery Beauty + Collagen Strips,Recovery,Core Recovery,29,Core Recovery Beauty + Collagen Strips,"Supports healthy skin, hair, and nail structure.",A premium strips formula engineered for recovery routine architecture and long-term consistency,"Supports healthy skin, hair, and nail structure.","Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day. Do not exceed labeled serving size.","Collagen Peptide (100 mg), Vitamin E (DL-Alpha-Tocopherol) (6 mg), Pullulan, Cellulose, Lecithin, Mango Flavor, Malic Acid, Pectin, Monk Fruit Extract, Steviol Glycosides","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-recovery-beauty-collagen-strips.svg
GCN-005,Respiratory & Lung Health Drops,core-immunity-respiratory-and-lung-health-drops,Core Immunity Respiratory And Lung Health Drops,Immunity,Core Immunity,32,Core Immunity Respiratory And Lung Health Drops,Supports immune readiness and daily resilience.,A premium liquid formula engineered for immunity routine architecture and long-term consistency,Supports immune readiness and daily resilience.,"Shake well before use. Adults take 2 ml (40 drops) orally once daily, preferably in the morning. Dispense directly into the mouth or mix with a beverage. Do not exceed labeled serving size.","Proprietary Oil Blend (Menthol USP, Peppermint Essential Oil, Mullein Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Lavender Essential Oil) 400 mg, MCT Oil","Third-party verified identity, potency, and contaminant controls on every production lot.","Do not exceed the recommended dose. Pregnant or nursing women, children under 18, or individuals with medical conditions should consult a healthcare professional before use. KEEP OUT OF REACH OF CHILDREN. STORE IN A COOL, DRY PLACE. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-immunity-respiratory-and-lung-health-drops.svg
GCN-006,Dental + Oral Health Chewables,core-recovery-dental-oral-health-chewables,Core Recovery Dental + Oral Health Chewables,Recovery,Core Recovery,28,Core Recovery Dental + Oral Health Chewables,"Supports recovery, hydration, and tissue resilience.",A premium chewables formula engineered for recovery routine architecture and long-term consistency,"Supports recovery, hydration, and tissue resilience.","As a dietary supplement, adults chew one (1) tablet daily. Chew thoroughly before swallowing to allow the active ingredients to interact with the mouth and teeth. Do not swallow whole. For best results, use after meals or as directed by a healthcare professional. Do not exceed labeled serving size.","Dental Support Blend: Xylitol (Direct Compressible), Guava Fruit Powder (325 mg), 3-Strain Probiotic (Ari): Lactobacillus salivarius LS97, Lactobacillus paracasei LC86, Lactobacillus acidophilus LA85 (20 mg), Microcrystalline Hydroxyapatite Complex (5 mg), Beta-Cyclodextrin, Natural Flavors, Magnesium Stearate.","Third-party verified identity, potency, and contaminant controls on every production lot.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-recovery-dental-oral-health-chewables.svg
GCN-007,"Hair, Skin and Nails Strips",core-immunity-hair-skin-and-nails-strips,"Core Immunity Hair, Skin And Nails Strips",Immunity,Core Immunity,33,"Core Immunity Hair, Skin And Nails Strips","Supports healthy skin, hair, and nail structure.",A premium strips formula engineered for immunity routine architecture and long-term consistency,"Supports healthy skin, hair, and nail structure.","Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day. Do not exceed labeled serving size.","Biotin (5,000 mcg), Vitamin B9 (Folate) (400 mcg), Vitamin D3 (Cholecalciferol) (20 mcg), Pullulan, Cellulose, Mannitol, Monk Fruit Extract, Orange Flavor, Malic Acid, Lecithin, Steviol Glycosides","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-immunity-hair-skin-and-nails-strips.svg
GCN-008,Moringa Pure,core-base-moringa-pure,Core Base Moringa Pure,Foundational,Core Base,27,Core Base Moringa Pure,"Supports joint comfort, mobility, and post-training recovery.",A premium capsules formula engineered for foundational routine architecture and long-term consistency,"Supports joint comfort, mobility, and post-training recovery; Supports restful sleep quality and circadian rhythm; Supports foundational daily wellness and nutrient coverage.","Take two (2) capsules once a day as a dietary supplement. For best results, take 20-30 min before a meal with an 8oz (236 ml) glass of water or as directed by your healthcare professional. Do not exceed labeled serving size.","Moringa Oleifera (leaf), Hypromellose (vegetable capsule).","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-base-moringa-pure.svg
GCN-009,Normal Blood Sugar Drops,core-energy-normal-blood-sugar-drops,Core Energy Normal Blood Sugar Drops,Energy,Core Energy,20,Core Energy Normal Blood Sugar Drops,Supports healthy glucose metabolism already within the normal range.,A premium liquid formula engineered for energy routine architecture and long-term consistency,Supports healthy glucose metabolism already within the normal range; Supports stable energy and metabolic efficiency.,"Shake well before each use. Adults take 2 ml (40 drops) orally once per day, preferably in the morning. Fill the dropper and dispense directly into the mouth or add to your preferred beverage. If desired and well tolerated, an additional serving may be taken later in the day. Do not exceed labeled serving size.","1:5 Extract of Cinnamon (Cinnamomum cassia) (bark) 500 mg, 1:5 Extract of Licorice Root 174 mg, 1:5 Extract of Turmeric Root (Curcuma longa) 75 mg, 1:5 Extract of Coriander Seed 50 mg, Bitter Melon Extract (Momordica charantia Linn.) (fruit) (4:1) 0.8 mg, Japanese Knotweed Extract (98% Resveratrol) (Polygonum cuspidatum) (root) 0.1 mg, Water, Glycerin, Potassium Sorbate.","Third-party verified identity, potency, and contaminant controls on every production lot.","Do not exceed the recommended dose. Pregnant or nursing women, children under 18, and individuals with a known medical condition should consult a healthcare professional before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-energy-normal-blood-sugar-drops.svg
GCN-010,Digestive Enzyme Pro Blend,core-recovery-digestive-enzyme-pro-blend,Core Recovery Digestive Enzyme Pro Blend,Recovery,Core Recovery,29,Core Recovery Digestive Enzyme Pro Blend,"Supports digestive comfort, gut function, and nutrient utilization.",A premium capsules formula engineered for recovery routine architecture and long-term consistency,"Supports digestive comfort, gut function, and nutrient utilization; Supports recovery, hydration, and tissue resilience; Supports cardiovascular function and circulation.","Take one (1) capsule twice a day as a dietary supplement. For best results, take 20-30 min before a meal or as directed by your healthcare professional. Do not exceed labeled serving size.","Makzyme-Pro™, Enzyme Blend (Fungal Protease from Aspergillus oryzae, Lactobacillus acidophilus, Lactobacillus cases, Lactobacillus plantarum), Bromelain, Papain, Fungal Lipase, Fungal Lactase, Alpha Galactosidase, Hypromellose (vegetable capsule), vegetable Magnesium Stearate, Silicon Dioxide.","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-recovery-digestive-enzyme-pro-blend.svg
