source_sku,source_name,brand_name,form,functional_area,category,servings,cost_usd,srp_usd,active_ingredients,primary_benefits,usage,cautions,image_file,shipping_scope,source_category
GCN-001,Creatine Hydration Powder,Core Performance Creatine Hydration Powder,Powder,performance,Performance,60,9.75,42,"Creatine (as Creatine Monohydrate) 5,000 mg, Magnesium (as Magnesium Malate) 60 mg, Sodium (as Sea Salt) 1,000 mg, Potassium (as Potassium Chloride) 200 mg, Natural Flavors, Stevia Extract (Leaf), Silicon Dioxide.","This formula combines high-quality creatine monohydrate with essential electrolytes to support muscle energy, hydration, and workout performance.; It’s designed to help you train harder, recover comfortably, and maintain proper mineral balance during activity.","As a dietary supplement, adults mix one (1) scoop (10g) with 6-8 oz (177-237ml) of water or favorite beverage daily.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE *These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.",assets/product-energy.svg,US_ONLY,Muscle Builders
GCN-002,Ashwagandha Plus,Core Performance Ashwagandha Plus,Capsules,performance,Performance,60,6.99,29.5,"Vitamin D3 (as Cholecalciferol) (20 mcg), Vitamin B6 (as Pyridoxine Hydrochloride) (2.5 mg), Vitamin B12 (as Methylcobalamin 1%) (25 mcg), KSM-66® Ashwagandha Extract (standardized to 5% Withanolides) (600 mg), L-Arginine (300 mg), Maca Root Powder (Lepidium meyenii) (root) (150 mg), Panax Ginseng Powder (root) (100 mg), Shatavari Powder (Asparagus racemosus) (root) (50 mg), HPMC (vegetable capsule).","Elevate your daily wellness routine with Ashwagandha Plus capsules - a blend of vitamins, adaptogens, and functional botanicals.; Featuring Vitamin D3, B6, and B12 alongside KSM-66® Ashwagandha, L-Arginine, Maca, Panax Ginseng, and Shatavari, this supplement supports energy, vitality, and mental focus.","As a dietary supplement, adults take two (2) capsules daily. For best results, take with 6-8 oz (177-237ml) of water or as directed by healthcare professional.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE. *These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.",assets/product-energy.svg,US_ONLY,Brain & Cognitive
GCN-003,Methylene Blue Drops,Core Focus Methylene Blue Drops,Liquid,focus,Focus,30,6.25,59,"Methylene Blue Powder (10 mg), Water, Potassium Sorbate","Methylene Blue Drops provide a convenient, easy-to-use liquid supplement containing 10 mg of Methylene Blue per serving.; This formulation supports cellular energy production and overall cognitive wellness, helping maintain mental clarity and focus.","Shake well before each use. Adults: Take 1 ml (20 drops) orally once daily, preferably in the morning. Fill the dropper and dispense directly into your mouth or add to your preferred beverage. If well tolerated, a second serving may be taken later in the day.","The safety of this product has not been determined. Pregnant or nursing women, children under 18, and individuals with known medical conditions should consult a healthcare professional before using this or any dietary supplement. KEEP OUT OF REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS BROKEN OR MISSING. STORE IN A COOL, DRY PLACE.",assets/product-focus.svg,US_ONLY,Specialty Supplements
GCN-004,Beauty + Collagen Strips,Core Recovery Beauty + Collagen Strips,Strips,recovery,Recovery,30,8.03,28.9,"Collagen Peptide (100 mg), Vitamin E (DL-Alpha-Tocopherol) (6 mg), Pullulan, Cellulose, Lecithin, Mango Flavor, Malic Acid, Pectin, Monk Fruit Extract, Steviol Glycosides","Support your daily beauty and wellness routine with Beauty + Collagen Strips - a convenient, mango-flavored oral strip combining Collagen Peptides and antioxidant Vitamin E.; This supplement is designed to help maintain the body’s natural processes that support healthy-looking skin, hair, and nails.","Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-joint.svg,ALL_SUPPORTED_DESTINATIONS,"Skin, Hair & Nail Health"
GCN-005,Respiratory & Lung Health Drops,Core Immunity Respiratory And Lung Health Drops,Liquid,immunity,Immunity,30,5.95,32,"Proprietary Oil Blend (Menthol USP, Peppermint Essential Oil, Mullein Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Lavender Essential Oil) 400 mg, MCT Oil","Respiratory & Lung Health Drops combine a unique blend of menthol, peppermint, mullein, orange peel, and lavender oils in a convenient MCT oil base.; This thoughtfully crafted formula is designed to support respiratory health and overall wellness.","Shake well before use. Adults take 2 ml (40 drops) orally once daily, preferably in the morning. Dispense directly into the mouth or mix with a beverage.","Do not exceed the recommended dose. Pregnant or nursing women, children under 18, or individuals with medical conditions should consult a healthcare professional before use. KEEP OUT OF REACH OF CHILDREN. STORE IN A COOL, DRY PLACE.",assets/product-immune.svg,US_ONLY,"Eye, Ear & Nose"
GCN-006,Dental + Oral Health Chewables,Core Recovery Dental + Oral Health Chewables,Chewables,recovery,Recovery,30,5.55,28,"Dental Support Blend: Xylitol (Direct Compressible), Guava Fruit Powder (325 mg), 3-Strain Probiotic (Ari): Lactobacillus salivarius LS97, Lactobacillus paracasei LC86, Lactobacillus acidophilus LA85 (20 mg), Microcrystalline Hydroxyapatite Complex (5 mg), Beta-Cyclodextrin, Natural Flavors, Magnesium Stearate.","Dental + Oral Health Chewables are a convenient daily supplement designed to support a healthy lifestyle and oral wellness.; Each chewable tablet combines probiotics, fruit powder, xylitol, and hydroxyapatite in an easy-to-use format.","As a dietary supplement, adults chew one (1) tablet daily. Chew thoroughly before swallowing to allow the active ingredients to interact with the mouth and teeth. Do not swallow whole. For best results, use after meals or as directed by a healthcare professional.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-joint.svg,US_ONLY,Specialty Supplements
GCN-007,"Hair, Skin and Nails Strips","Core Immunity Hair, Skin And Nails Strips",Strips,immunity,Immunity,30,8.03,32.9,"Biotin (5,000 mcg), Vitamin B9 (Folate) (400 mcg), Vitamin D3 (Cholecalciferol) (20 mcg), Pullulan, Cellulose, Mannitol, Monk Fruit Extract, Orange Flavor, Malic Acid, Lecithin, Steviol Glycosides","Support your natural glow with our Hair, Skin and Nails Strips, formulated with Biotin, Folate, and Vitamin D3.; These quick-dissolving orange-flavored oral strips promote the normal maintenance of healthy hair, skin, and nails as part of your everyday wellness habits.","Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-immune.svg,ALL_SUPPORTED_DESTINATIONS,"Skin, Hair & Nail Health"
GCN-008,Moringa Pure,Core Base Moringa Pure,Capsules,foundational,Foundational,60,6.75,26.9,"Moringa Oleifera (leaf), Hypromellose (vegetable capsule).",Supports healthy joints and bones; Promotes good sleep; May play a role in maintaining stable blood glucose levels; Plant Power: Utilizes only the leaves of the Moringa Oleifera tree to ensure a pure and concentrated form of this traditional herb.,"Take two (2) capsules once a day as a dietary supplement. For best results, take 20-30 min before a meal with an 8oz (236 ml) glass of water or as directed by your healthcare professional.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-omega.svg,ALL_SUPPORTED_DESTINATIONS,Specialty Supplements
GCN-009,Normal Blood Sugar Drops,Core Energy Normal Blood Sugar Drops,Liquid,energy,Energy,30,5.35,19.8,"1:5 Extract of Cinnamon (Cinnamomum cassia) (bark) 500 mg, 1:5 Extract of Licorice Root 174 mg, 1:5 Extract of Turmeric Root (Curcuma longa) 75 mg, 1:5 Extract of Coriander Seed 50 mg, Bitter Melon Extract (Momordica charantia Linn.) (fruit) (4:1) 0.8 mg, Japanese Knotweed Extract (98% Resveratrol) (Polygonum cuspidatum) (root) 0.1 mg, Water, Glycerin, Potassium Sorbate.","Normal Blood Sugar Drops provide a blend of traditional botanicals including cinnamon, licorice root, turmeric, coriander, bitter melon, and resveratrol to support metabolic wellness.; This convenient liquid format is designed for adults looking to complement a healthy diet and active lifestyle.","Shake well before each use. Adults take 2 ml (40 drops) orally once per day, preferably in the morning. Fill the dropper and dispense directly into the mouth or add to your preferred beverage. If desired and well tolerated, an additional serving may be taken later in the day.","Do not exceed the recommended dose. Pregnant or nursing women, children under 18, and individuals with a known medical condition should consult a healthcare professional before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE.",assets/product-energy.svg,US_ONLY,Weight Management
GCN-010,Digestive Enzyme Pro Blend,Core Recovery Digestive Enzyme Pro Blend,Capsules,recovery,Recovery,60,6.95,28.9,"Makzyme-Pro™, Enzyme Blend (Fungal Protease from Aspergillus oryzae, Lactobacillus acidophilus, Lactobacillus cases, Lactobacillus plantarum), Bromelain, Papain, Fungal Lipase, Fungal Lactase, Alpha Galactosidase, Hypromellose (vegetable capsule), vegetable Magnesium Stearate, Silicon Dioxide.",Promotes digestive health; Increased nutrient uptake; Supports cardiovascular health,"Take one (1) capsule twice a day as a dietary supplement. For best results, take 20-30 min before a meal or as directed by your healthcare professional.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-joint.svg,ALL_SUPPORTED_DESTINATIONS,Digestive Support
