#,Original Product Name,New Genesis Core Name
1,Creatine Hydration Powder,Core Performance Creatine Hydration Powder
2,Ashwagandha Plus,Core Performance Ashwagandha Plus
3,Methylene Blue Drops,Core Focus Methylene Blue Drops
4,Beauty + Collagen Strips,Core Recovery Beauty + Collagen Strips
5,Respiratory & Lung Health Drops,Core Immunity Respiratory And Lung Health Drops
6,Dental + Oral Health Chewables,Core Recovery Dental + Oral Health Chewables
7,"Hair, Skin and Nails Strips","Core Immunity Hair, Skin And Nails Strips"
8,Moringa Pure,Core Base Moringa Pure
9,Normal Blood Sugar Drops,Core Energy Normal Blood Sugar Drops
10,Digestive Enzyme Pro Blend,Core Recovery Digestive Enzyme Pro Blend
11,Gut Health,Core Energy Gut Health
12,Mushroom Extract Complex,Core Base Mushroom Extract Complex
13,Appetite Balance & Weight Support Strips,Core Recovery Appetite Balance And Weight Support Strips
14,Magnesium Glycinate,Core Sleep Magnesium Glycinate
15,Creatine Monohydrate,Core Performance Creatine Monohydrate
16,Fat Burner with MCT,Core Energy Fat Burner With MCT
17,"Hair, Skin and Nails Essentials","Core Immunity Hair, Skin And Nails Essentials"
18,Hydration Powder (Lemonade),Core Performance Hydration Powder Lemonade
19,Brain & Focus Formula,Core Sleep Brain And Focus Formula
20,Mushroom Focus Strips,Core Focus Mushroom Focus Strips
21,Diet Drops Ultra 1 oz,Core Performance Diet Drops Ultra 1 Oz
22,Max Detox (Acai detox),Core Recovery Max Detox Acai Detox
23,Resveratrol 50% 600mg,Core Energy Resveratrol 50% 600mg
24,Probiotic + Metabolism Strips,Core Recovery Probiotic + Metabolism Strips
25,Libido Support Strips,Core Base Libido Support Strips
26,Cognitive Relax Strips,Core Sleep Cognitive Relax Strips
27,Bone Support Strips,Core Immunity Bone Support Strips
28,Advanced 100% Whey Protein Isolate (Chocolate),Core Sleep Advanced 100% Whey Protein Isolate Chocolate
29,Berberine,Core Energy Berberine
30,Digestive + Gut Health Strips,Core Performance Digestive + Gut Health Strips
31,Ashwagandha,Core Focus Ashwagandha
32,Probiotic 20 Billion,Core Immunity Probiotic 20 Billion
33,Energy Strips,Core Focus Energy Strips
34,Alpha Energy,Core Performance Alpha Energy
35,Vision Support,Core Immunity Vision Support
36,Liver Support,Core Recovery Liver Support
37,Iron Strips,Core Recovery Iron Strips
38,Complete Multivitamin,Core Immunity Complete Multivitamin
39,Men's Vitality,Core Performance Mens Vitality
40,Greens Superfood,Core Focus Greens Superfood
41,Beetroot,Core Performance Beetroot
42,Sleep Strips,Core Sleep Sleep Strips
43,Advanced 100% Whey Protein Isolate (Vanilla),Core Performance Advanced 100% Whey Protein Isolate Vanilla
44,Joint Support,Core Recovery Joint Support
45,Prostate Support,Core Immunity Prostate Support
46,Energy Powder (Fruit Punch),Core Performance Energy Powder Fruit Punch
47,Cognitive Support,Core Sleep Cognitive Support
48,Hangover Strips,Core Sleep Hangover Strips
49,Horny Goat Weed Blend,Core Performance Horny Goat Weed Blend
50,Grass-Fed Hydrolyzed Collagen Peptides,Core Recovery Grass-fed Hydrolyzed Collagen Peptides
51,Lion's Mane Mushroom,Core Focus Lions Mane Mushroom
52,Probiotic 40 Billion with Prebiotics,Core Recovery Probiotic 40 Billion With Prebiotics
53,"Hair, Skin & Nails Gummies","Core Immunity Hair, Skin And Nails Gummies"
54,Pure3 100% Whey Protein Isolate (Chocolate),Core Performance Pure3 100% Whey Protein Isolate Chocolate
55,Fruits and Veggies,Core Recovery Fruits And Veggies
56,Focus Powder (Sour Grape),Core Performance Focus Powder Sour Grape
57,Normal Blood Sugar Support,Core Immunity Normal Blood Sugar Support
58,Reds Superfood,Core Immunity Reds Superfood
59,Sleep Formula,Core Sleep Sleep Formula
60,Hydration Powder (Lychee),Core Performance Hydration Powder Lychee
61,Hydration Powder (Peach Mango),Core Performance Hydration Powder Peach Mango
62,Keto BHB,Core Energy Keto Bhb
63,Plant Protein (Chocolate),Core Sleep Plant Protein Chocolate
64,BCAA Post Workout Powder (Honeydew/Watermelon),Core Performance BCAA Post Workout Powder Honeydew/watermelon
65,Pure3 100% Whey Protein Isolate (Vanilla),Core Performance Pure3 100% Whey Protein Isolate Vanilla
66,Energy Powder (Cotton Candy),Core Performance Energy Powder Cotton Candy
67,BCAA Shock Powder (Fruit Punch),Core Performance BCAA Shock Powder Fruit Punch
68,Energy Powder (Strawberry Shortcake),Core Performance Energy Powder Strawberry Shortcake
69,Nitric Oxide,Core Performance Nitric Oxide
70,Hydration Powder (Passion Fruit),Core Performance Hydration Powder Passion Fruit
71,Women's Vitality Formula,Core Base Womens Vitality Formula
72,Energy Powder (Guava Berry),Core Performance Energy Powder Guava Berry
73,Colostrum Powder,Core Performance Colostrum Powder
74,Bee Pearl,Core Base Bee Pearl
75,Mushroom Complex 10 X,Core Focus Mushroom Complex 10 X
76,Fermented Mushroom Blend,Core Immunity Fermented Mushroom Blend
77,Sea Moss,Core Immunity Sea Moss
78,Ultra Cleanse Smoothie Greens,Core Focus Ultra Cleanse Smoothie Greens
79,Colon Gentle Cleanse,Core Recovery Colon Gentle Cleanse
80,Nitric Shock Pre-Workout Powder (Fruit Punch),Core Performance Nitric Shock Pre-workout Powder Fruit Punch
